章,名称,国名,登録基準,特殊遺産,時代・王朝,民族,人,生物,構成資産,建築・絵画の様式,特徴
産業・経済活動関連遺産,Ir.D.F.ヴァウダヘマール：D.F.ヴァウダ技師による蒸気水揚げポンプ場,オランダ,(ⅰ)(ⅱ)(ⅳ),,,,,,,,世界最大の規模を誇る排水施設
産業・経済活動関連遺産,シューシュタルの歴史的水利システム,イラン・イスラム,(ⅰ)(ⅱ)(ⅴ),,,,,,,,ギャルギャル運河
産業・経済活動関連遺産,青城山と都江堰水利施設,中国,(ⅱ)(ⅳ)(ⅵ),,,,張陵,,,,
気候帯,ケベック旧市街の歴史地区,カナダ,(ⅳ)(ⅵ),,,,,,シャトー・フロントナック,,"ヌーヴェル・フランス
 ケベック法を制定しフランスの民法や言語の使用が認められている"
気候帯,オリンピック国立公園,アメリカ,(ⅶ)(ⅸ),,,,,,,,温帯雨林地帯
気候帯,メキシコ・シティの歴史地区とソチミルコ,メキシコ,(ⅱ)(ⅲ)(ⅳ)(ⅴ),,アステカ帝国,,,,,,テノチティトラン
気候帯,コロニア・デル・サクラメントの歴史地区,ウルグアイ,(ⅳ),,,,,,サグラード・サクラメント教会堂,,
気候帯,中央アマゾン自然保護区群,ブラジル,(ⅸ)(ⅹ),,,,,,,,"バルゼア
 イガポー"
気候帯,セラード自然保護地域群：ヴェアデイロス平原国立公園とエマス国立公園,ブラジル,(ⅸ)(ⅹ),,,,,オオアリクイ,,,
気候帯,キトの市街,エクアドル,(ⅱ)(ⅳ),,,キトス族,,,,,インカ第2の都市
気候帯,ボルドー、月の港,フランス,(ⅱ)(ⅳ),,,,,,,,海洋性気候
気候帯,コミの原生林,ロシア,(ⅶ)(ⅸ),,,,,,,,ツンドラ
気候帯,ダウリアの景観群,モンゴル及びロシア,(ⅸ)(ⅹ),,,,,"ゴビズキンカモメ
 サカツラガン
 マナヅル",,,
気候帯,西ガーツ山脈,インド,(ⅸ)(ⅹ),,,,,"シシオザル
 ニルギリタール",,,モンスーン気候帯
気候帯,ペルシアのカナート,イラン・イスラム,(ⅲ)(ⅳ),,,,,,,,地下灌漑水路システム
気候帯,ルウェンゾリ山地国立公園,ウガンダ,(ⅶ)(ⅹ),,,,,,,,マルゲリータ峰（スタンリー山）
気候帯,ナミブ砂漠,ナミビア,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,,,,,,"霧の影響を受け霧が貴重な広大な砂丘を含む海岸砂漠
 二層の構造となっており一方は酸化鉄の色によって砂漠は赤く見える"
気候帯,クジャター・グリーンランド：氷冠周縁部におけるノース人とイヌイット農業地域,デンマーク,(ⅴ),文化的景観,,"ノース人
 イヌイット",,,,,
地殻変動,タスマニア原生地帯,オーストラリア,(ⅲ)(ⅳ)(ⅵ)(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,タスマニア・アボリジニ,,"タスマニアデビル
 カモノハシ",,,"クレイドル・マウンテン・セント・クレア・レイク国立公園
 ゴンドワナ大陸
 ステンシルと呼ばれる描画技法"
地殻変動,テ・ワヒポウナム,ニュージーランド,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,,,キウイ,アオラキ/マウント・クック,,"サザン・アルプス山脈
 氷河作用と地殻変動による景観"
地殻変動,ユングフラウ‐アレッチュのスイス・アルプス,スイス,(ⅶ)(ⅷ)(ⅸ),,,,,,,,アレッチュ氷河の周辺では浸食作用による氷河地形の典型を多く見ることができる
地殻変動,ピュイ山地とリマーニュ断層にある地殻変動地帯,フランス,(ⅷ),,,,,,,,ピュイ・ドゥ・ドーム
地殻変動,スイスのサルドナ上層地殻変動地帯,スイス,(ⅷ),,,,,,,,逆断層
地殻変動,シングヴェトリル国立公園,アイスランド,(ⅲ)(ⅳ),文化的景観,,,,,,,"ギャオ
 アルシング
 ゲイシール"
地殻変動,カナイマ国立公園,ベネズエラ,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,先カンブリア時代,,,,,,"アウヤンテプイ山
 テーブルマウンテン
 アンヘルの滝"
地殻変動,グロス・モーン国立公園,カナダ,(ⅶ)(ⅷ),,,,,,,,地球内部のマントルが地表に露出したもの
地殻変動,大地溝帯にあるケニアの湖沼群,ケニア,(ⅶ)(ⅸ)(ⅹ),,,,,"コフラミンゴ
 ロスチャイルドキリン
 グレータークーズー",,,
地殻変動,マックォーリー島,オーストラリア,(ⅶ)(ⅷ),,,,,,,,マントルが噴出した玄武岩が海面から露出している
地殻変動,タジキスタン国立公園（パミールの山脈）,タジキスタン,(ⅶ)(ⅷ),,,,,,,,フェドチェンコ氷河
地殻変動,サガルマータ国立公園,ネパール,(ⅶ),,,,,,,,イエロー・バンド
カルスト地形,アンドレファナ乾燥林群,マダガスカル,(ⅶ)(ⅸ)(ⅹ),,,,,"クイナモドキ
 レムール",,,ツィンギー・ド・ベマラハ国立公園
カルスト地形,シュコツィアンの洞窟群,スロベニア,(ⅶ)(ⅷ),,,,,,,,ヴェリカ・ドヴォラナ
カルスト地形,アグテレク・カルストとスロバキア・カルストの洞窟群,スロバキア及びハンガリー,(ⅷ),,,,,,,,パラドゥラ・ドミツァ洞窟
カルスト地形,マンモス・ケーブ国立公園,アメリカ,(ⅶ)(ⅷ)(ⅹ),,,,,,,,世界最大級の鍾乳洞
カルスト地形,中国南部のカルスト地帯,中国,(ⅶ)(ⅷ),,,,,,,,湿潤熱帯および亜熱帯地域におけるカルスト地形
カルスト地形,プエルト・プリンセサ地下河川国立公園,フィリピン,(ⅶ)(ⅹ),,,,,パラワンヤマアラシ,,,
カルスト地形,フォン・ニャ‐ケ・バン国立公園,ベトナム,(ⅶ)(ⅸ)(ⅹ),,,,,,,,フォン・ニャ洞窟
カルスト地形,グヌン・ムル国立公園,マレーシア,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,,,,,,サワラク洞窟
カルスト地形,ヒエラポリスとパムッカレ,トルコ,(ⅲ)(ⅵ)(ⅶ),,アッタロス朝,,,,,,
カルスト地形,左江花山の岩絵の文化的景観,中国,(ⅲ)(ⅵ),文化的景観,,,,,,,祭礼の際に銅鼓を演奏する
火山,ポンペイ、エルコラーノ、ロッテ・アヌンツィアータの考古地区,イタリア,(ⅲ)(ⅳ)(ⅴ),,,,,,"外科医の家
 オプロンティスのヴィッラ",,ヴェスヴィオ山の噴火により火山灰に埋没した
火山,ガラホナイ国立公園,スペイン,(ⅶ)(ⅸ),,,,,ゲッケイジュ林,,,ガラホナイ山
火山,エトナ山,イタリア,(ⅷ),,,,,,,,"世界で最も活発に活動している成層火山
 2700年前から噴火の記録が残されている"
火山,レユニオン島：峻峰の圏谷、その外縁,フランス,(ⅶ)(ⅹ),,,,,,"ピトン・デ・ネージュ
 ピトン・ドゥ・ラ・フルネーズ
 レユニオン国立公園",,
火山,ピーコ島のブドウ栽培の景観,ポルトガル,(ⅲ)(ⅴ),,,,,,,,"2番目に大きな火山島
 直線状の石壁"
火山,テイデ国立公園,スペイン,(ⅶ)(ⅷ),,,,,,,,ラス・カニャダスの断崖
火山,ヴァトナヨークトル国立公園：火山と氷河がつくるダイナミックな自然,アイスランド,(ⅷ),,,,,,,,ヨークルフロイプ（氷河湖決壊洪水）
火山,アワッシュ川下流域,エチオピア,(ⅱ)(ⅲ)(ⅳ),,,,アウストラロピテクス・アファレンシス,,,,
火山,ギョレメ国立公園とカッパドキアの岩石群,トルコ,(ⅰ)(ⅲ)(ⅴ)(ⅶ),,,,,,,,"イコン破壊運動
 ギョレメ渓谷
 カイマクルとデリンクユの地下都市"
火山,タフテ・ソレイマーン,イラン・イスラム,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,,,,,,"拝火壇（アザル・ゴシュナスブ）
 ソロモン王の玉座を意味するゾロアスター教の聖地跡"
火山,ウジュン・クロン国立公園,インドネシア,(ⅶ)(ⅹ),,,,,ジャワサイ,,,
火山,済州火山島と溶岩洞窟群,韓国,(ⅶ)(ⅷ),,,,,,,,"城山日出峰
 世界で最も長く複雑な火山洞窟"
火山,ハード島とマクドナルド諸島,オーストラリア,(ⅷ)(ⅸ),,,,,,,,マウソン山
火山,エル・ピナカーテとグラン・デシエルト・デ・アルタル生物圏保存地域,メキシコ,(ⅶ)(ⅷ)(ⅹ),,,,,,,,マール（爆裂火口）
火山,レビジャヘヒド群島,メキシコ,(ⅶ)(ⅸ)(ⅹ),,,,,,,,4つの島はそれぞれ海中に沈んだ火山の山頂にあたる
火山,モルヌ・トロワ・ピトン国立公園,ドミニカ,(ⅷ)(ⅹ),,,,,,,,ボイリング・レイク
火山,ホヤ・デ・セレンの考古遺跡,エルサルバドル,(ⅲ)(ⅳ),,,,,,,,ロマ・カルデラ火山
火山,ピトンズ管理地区,セントルシア,(ⅶ)(ⅷ),,,,,,,,ピトン・ミタン尾根
森林,カルパティア山脈と他のヨーロッパ地域のブナ原生林,アルバニア/イタリア/ウクライナ/オーストリア/北マケドニア/クロアチア/スイス/スペイン/スロバキア/スロベニア/チェコ/ドイツ/フランス/ブルガリア/ベルギー/ポーランド/ボスニア・ヘルツェゴビナ/ルーマニア,(ⅸ),,,,,"キンメフクロウ
 ヨーロッパブナ",,,"18カ国に及ぶシリアル・ノミネーション
 10種の原生ブナ"
森林,マデイラ島の照葉樹林,ポルトガル,(ⅸ)(ⅹ),,第三紀,,,,,,氷河期以前の太古の姿を残した森林地帯
森林,シホテ・アリニ山脈中央部,ロシア,(ⅹ),,,,,"アムールトラ
 シマフクロウ",,,
森林,コルキスの多雨林群と湿地群,ジョージア,(ⅸ)(ⅹ),,,,,コルキスチョウザメ,,,
森林,ポルト湾：ピアナのカランケ、ジロラッタ湾、スカンドラ保護区,フランス,(ⅶ)(ⅷ)(ⅹ),,,,,マキー（常緑低木林）,,,
森林,アルタイ・ゴールデン・マウンテン,ロシア,(ⅹ),,,,,ユキヒョウ,,,
森林,タラマンカ山脈地帯：ラ・アミスタ自然保護区群とラ・アミスタ国立公園,コスタリカ及びパナマ,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,,,,,,チリポ山
森林,ロス・アレルセス国立公園,アルゼンチン,(ⅶ)(ⅹ),,,,,アレルセ,,,
森林,ロス・カティオス国立公園,コロンビア,(ⅸ)(ⅹ),,,,,,,,中米と南米の境界
森林,リオ・プラタノ生物圏保存地域,ホンジュラス,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,危機遺産,,,コンゴウインコ,,,プラタノ川
森林,リオ・アビセオ国立公園,ペルー,(ⅲ)(ⅶ)(ⅸ)(ⅹ),,,,,"ヘンディーウーリーモンキー
 プヤ",,,
森林,サウス・イースト大西洋沿岸森林保護区群,ブラジル,(ⅶ)(ⅸ)(ⅹ),,,,,,,,大西洋沿岸森林
森林,レッドウッド国立・州立公園群,アメリカ,(ⅶ)(ⅸ),,,,,セコイア,,,レッドウッド保護連盟
森林,グレート・スモーキー山脈国立公園,アメリカ,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,,,カナダカワウソ,,,
森林,ニンバ山厳正自然保護区群,ギニア及びコートジボワール,(ⅸ)(ⅹ),,危機遺産,,,,,,ハルマッタン（貿易風）
森林,ジャー動物保護区,カメルーン,(ⅸ)(ⅹ),,,,,ニシローランドゴリラ,,,
森林,カディーシャ渓谷（聖なる谷）と神の杉の森（ホルシュ・アルツ・エルラブ）,レバノン,(ⅲ)(ⅳ),,文化的景観,,,レバノン杉,,,
森林,湖北の神農架,中国,(ⅸ)(ⅹ),,,,,チュウゴクオオサンショウウオ,,,
森林,オーストラリアのゴンドワナ雨林,オーストラリア,(ⅷ)(ⅸ)(ⅹ),,,,,ナンキョクブナ,,,世界最大級の多雨林帯
森林,クイーンズランドの湿潤熱帯地域,オーストラリア,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,,,ニオイネズミカンガルー,,,
森林,スリランカ中央高地,スリランカ,(ⅸ)(ⅹ),,,,,ニシカオムラサキラングール,"ホートン・プレインズ国立公園
 ナックルズ森林保護区
 ピーク・ウィルダネス保護区",,
固有の生態系と絶滅危惧種,西カフカス山脈,ロシア,(ⅸ)(ⅹ),,,,,ヨーロッパバイソン,,,"人為的な影響を受けていない大規模な山岳地帯
 飼育された個体を自然の生息地に戻し定着させる"
固有の生態系と絶滅危惧種,キナバル自然公園,マレーシア,(ⅸ)(ⅹ),,,,,フタバガキ,,,キナバル山
固有の生態系と絶滅危惧種,サンガイ国立公園,エクアドル,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,,,メガネグマ,,,植物の垂直分布
固有の生態系と絶滅危惧種,マヌー国立公園,ペルー,(ⅸ)(ⅹ),,,,,,,,"ペルー最大の国立公園
 アマゾン川流域がギアナ高地とブラジル中央高原に挟まれた内海であった痕跡"
固有の生態系と絶滅危惧種,マナス野生動物保護区,インド,(ⅶ)(ⅸ)(ⅹ),,,,,"コビトイノシシ
 ゴールデンラングール
 スイギュウ",,,
固有の生態系と絶滅危惧種,イヴィンド国立公園,ガボン,(ⅸ)(ⅹ),,,,,マルミミゾウ,,,
固有の生態系と絶滅危惧種,雲南保護地域の三江併流群,中国,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,,,,"金沙江
 欄滄江
 怒江",,"横断山脈
 明永氷河"
固有の生態系と絶滅危惧種,シャーク湾,オーストラリア,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,,,"ストロマトライト
 ジュゴン",,,世界最大の海草藻場
固有の生態系と絶滅危惧種,カリフォルニア湾の島々と自然保護区群,メキシコ,(ⅶ)(ⅸ)(ⅹ),,,,,,,,"ソノラ砂漠
 大陸島と海洋島が同時に存在する"
固有の生態系と絶滅危惧種,ウランゲリ島保護区の自然生態系,ロシア,(ⅸ)(ⅹ),,,,,"タイヘイヨウセイウチ
 ホッキョクグマ",,,ホッキョクグマが世界一高い密度で生息
固有の生態系と絶滅危惧種,コイバ国立公園と特別海洋保護区,パナマ,(ⅸ)(ⅹ),,,,,,,,エルニーニョ現象の影響が及ばない湾内
固有の生態系と絶滅危惧種,アレハンドロ・デ・フンボルト国立公園,キューバ,(ⅸ)(ⅹ),,,,アレクサンダー・フォン・フンボルト,,,,
固有の生態系と絶滅危惧種,マルペロ動植物保護区,コロンビア,(ⅶ)(ⅸ),,,,,,,,マルペロ海底山脈
密猟,ガランバ国立公園,コンゴ民主,(ⅶ)(ⅹ),危機遺産,,,,"キタシロサイ
 コルドファンキリン",,,大型哺乳動物の生息に適した環境
密猟,セルー動物保護区,タンザニア,(ⅸ)(ⅹ),危機遺産,,,,,,,世界最大規模のアフリカゾウの生息地であった
密猟,ブウィンディ原生国立公園,ウガンダ,(ⅶ)(ⅹ),,,,,マウンテンゴリラ,,,
密猟,シミエン国立公園,エチオピア,(ⅶ)(ⅹ),,,,,"ゲラダヒヒ
 ワリアアイベックス",,,
密猟,ニョコロ・コバ国立公園,セネガル,(ⅹ),危機遺産,,,,,,,スーダン・サバンナ
密猟,コモエ国立公園,コートジボワール,(ⅸ)(ⅹ),,,,,,,,西アフリカ最大の国立公園
密猟,サロンガ国立公園,コンゴ民主,(ⅶ)(ⅸ),,,,,ボノボ,,,
密猟,W-アルリ-ペンジャーリ国立公園,ニジェール及びベナン及びブルキナファソ,(ⅸ)(ⅹ),危機遺産,,,,セーブルアンテロープ,,,スーダン・サヘル・サバナ
密猟,チトワン国立公園,ネパール,(ⅶ)(ⅸ)(ⅹ),,,,,,,,マラリア撲滅のために1950年代から大量の農薬が撒かれた
環境問題,カジランガ国立公園,インド,(ⅸ)(ⅹ),,,,,インドサイ,,,
環境問題,ヘンダーソン島,イギリス,(ⅶ)(ⅹ),,,,デ・キロス,,,,"プラスチックごみが大量に漂着することが問題となっている
 18世紀以降は無人島となったため自然が原始のまま保存された"
環境問題,チェスキー・クルムロフの歴史地区,チェコ,(ⅳ),,,,,,,,"ボヘミア
 聖ヴィート教会"
環境問題,イルリサット・アイスフィヨルド,デンマーク,(ⅶ)(ⅷ),,,,,,セルメク・クジャレク氷河,,地球温暖化の影響で近年グリーンランドの氷床は広範囲で溶け始めている
環境問題,隊商都市ウワダン、シンゲッティ、ティシット、ウワラタ,モーリタニア,(ⅲ)(ⅳ)(ⅴ),,,,,,,,"クサール（要塞化された村）
 砂漠化が進み都市の脅威となっている"
環境問題,エヴァーグレーズ国立公園,アメリカ,(ⅷ)(ⅸ)(ⅹ),,,,,,,,"ハンモック
 温帯と亜熱帯全米最大の湿原地域"
環境問題,ハ・ロン湾とカット・バ諸島,ベトナム,(ⅶ)(ⅷ),,,,,,,,"石灰岩台地
 石炭発掘による水質悪化環境汚染や生態系の破壊が問題となっている"
環境問題,グレート・ヒマラヤ国立公園保護地区,インド,(ⅹ),,,,,"ハイイロジュケイ
 ジャコウジカ",,,雪解け水を水源とする河川
環境問題,グレート・バリア・リーフ,オーストラリア,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,,,,,,"世界最大のサンゴ礁
 気候変動による海水温の上昇サイクロン港湾工事によるサンゴ礁の減少
 サンゴ礁が外敵から守る役割を果たす"
環境問題,ブルー・マウンテンズ地域,オーストラリア,(ⅸ)(ⅹ),,,,,ユーカリ,,,
環境問題,ソコトラ諸島,イエメン,(ⅹ),,,,,リュウケツジュ,,,
環境問題,ウアスカラン国立公園,ペルー,(ⅶ)(ⅷ),,,,,,,,ヤンガヌコ湖
開発による危機,ウィーンの歴史地区,オーストリア,(ⅱ)(ⅳ)(ⅵ),,,,フランツ・ヨーゼフ1世,,リンクシュトラーセ,ネオ・ルネサンス様式,ハプスブルク家の王都
開発による危機,ロンドン塔,イギリス,(ⅱ)(ⅳ),,,,,,,ノルマン様式,
開発による危機,ケルンの大聖堂,ドイツ,(ⅰ)(ⅱ)(ⅳ),,,,,,,,"最初の図面通り純粋なゴシック様式で完成
 ゲルハルト
 リブ・ヴォールト"
開発による危機,ブダペスト：ドナウ河岸とブダ城地区、アンドラーシ通り,ハンガリー,(ⅱ)(ⅳ),,,マジャル人,,,,,くさり橋
開発による危機,ドニャーナ国立公園,スペイン,(ⅶ)(ⅸ)(ⅹ),,,,,,,,ドゥナス・モビレス（移動砂丘）
開発による危機,ロシア・モンタナの鉱山景観,ルーマニア,(ⅱ)(ⅲ)(ⅳ),"文化的景観
 危機遺産",,,,,,,ローマ帝国時代に大規模な金採掘がおこなわれた
開発による危機,東レンネル,ソロモン,(ⅸ),危機遺産,,,,,,,テガノ湖
開発による危機,スースの旧市街,チュニジア,(ⅲ)(ⅳ)(ⅴ),,アグラブ朝,,,,,,
開発による危機,トゥルガナ湖国立公園群,ケニア,(ⅷ)(ⅹ),危機遺産,,,,,,,エチオピアでのダム開発による生態系への影響が懸念
開発による危機,アツィナナナの熱帯雨林,マダガスカル,(ⅸ)(ⅹ),危機遺産,,,,,,,マダガスカル島
開発による危機,シルヴァンシャー宮殿と乙女の塔のある城壁都市バクー,アゼルバイジャン,(ⅳ),,,,,,,,城壁内（イチェリ・シェヘル）
開発による危機,シャフリサブズの歴史地区,ウズベキスタン,(ⅲ)(ⅳ),危機遺産,,,,,,,ティムールの生誕地
開発による危機,スマトラの熱帯雨林遺産,インドネシア,(ⅶ)(ⅸ)(ⅹ),危機遺産,,,,,,,プランテーション開発
開発による危機,ベリーズ・バリア・リーフ自然保護区,ベリーズ,(ⅶ)(ⅸ)(ⅹ),,,,,,,,"世界で2番目に大きなサンゴ礁
 北半球最大のサンゴ礁"
開発による危機,パンタナル自然保護区,ブラジル,(ⅶ)(ⅸ)(ⅹ),,,,,,,,"世界最大の淡水湿地であるパンタナル湿原
 水鳥の繁殖地
 一時に多くの小さな湖ができる"
開発による危機,フレーザー島,オーストラリア,(ⅶ)(ⅷ)(ⅸ),,,,,,,,世界最大の砂の島
観光課題,ヴェネツィアとその潟,イタリア,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅴ)(ⅵ),,,,ティントレット,,"ドゥカーレ宮殿
 サン・マルコ大聖堂",,無数の杭を打ち込むことで土台がつくられている
観光課題,フィレンツェの歴史地区,イタリア,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,,ブルネッレスキ,,サンタ・マリア・デル・フィオーレ大聖堂,ルネサンス様式,コジモ・デ・メディチの援助によって建設された
観光課題,ドゥブロニクの旧市街,クロアチア,(ⅰ)(ⅲ)(ⅳ),,,,,,,,高さ約25mの城壁が街の4つの要塞を結んでいる
観光課題,ヴェゼール渓谷の装飾洞窟と先史遺跡,フランス,(ⅰ)(ⅲ),,,クロマニョン人,,,,,ラスコー洞窟
観光課題,アントニ・ガウディの作品群,スペイン,(ⅰ)(ⅱ)(ⅳ),,,,,,"カサ・ミラ
 グエル公園
 グエル邸
 サグラダ・ファミリア贖罪聖堂",,"人口の約20倍の観光客が訪れ問題化
 モデルニスモ
 自然のなかにすべての教科書がある
 生誕のファサード"
観光課題,麗江の旧市街,中国,(ⅰ)(ⅳ)(ⅴ),,,納西（ナシ）族,,,,,東巴（トンパ）文字
観光課題,古都ホイアン,ベトナム,(ⅱ)(ⅴ),,,,,,,,朱印船貿易
観光課題,ボロブドゥール仏教寺院群,インドネシア,(ⅰ)(ⅱ)(ⅵ),,シャイレンドラ朝,,,,,,"三界（欲界・色界・無色界）
 大乗仏教"
観光課題,コモド国立公園,インドネシア,(ⅶ)(ⅹ),,,,,コモドオオトカゲ,,,"小スンダ列島
 気候変動による海面上昇"
観光課題,アジャンターの石窟寺院群,インド,(ⅰ)(ⅱ)(ⅲ)(ⅳ),,,,,,,,アジャンターでは大半がヴィハーラ（僧院）窟
観光課題,ロック・アイランドの南部ラグーン,パラオ,(ⅲ)(ⅴ)(ⅶ)(ⅸ)(ⅹ),,,,,,,,ジェリーフィッシュ・レイク
観光課題,ウルル・、カタ・ジュタ国立公園,オーストラリア,(ⅴ)(ⅵ)(ⅶ)(ⅷ),,,,アボリジニのアナング族,,,,
観光課題,ガラパゴス諸島,エクアドル,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,,,"フィンチ
 ゾウガメ",,,
観光課題,ヨセミテ国立公園,アメリカ,(ⅶ)(ⅷ),,,,,,,,"ウィルダネス（原生地）
 モーレン（堆積物）
 ハーフドーム"
観光課題,ゲベル・バルガルとナパタ地域の遺跡群,スーダン,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),,クシュ王国,,,,,,
火災の被害,パリのセーヌ河岸,フランス,(ⅰ)(ⅱ)(ⅳ),,,,ジョルジュ・オスマン,,"ノートル・ダム大聖堂
 カルティエ・ラタン
 シテ島",,
火災の被害,テルチの歴史地区,チェコ,(ⅰ)(ⅳ),,,,ザハリアーシュ・フラデツ,,,,聖母マリア記念柱
火災の被害,ベルゲンのブリッゲン地区,ノルウェー,(ⅲ),,,,,,,,"ハンザ同盟の拠点の都市となった
 ショートスチューエネ（集会場）
 干鱈"
火災の被害,レーロースの鉱山都市と周辺,ノルウェー,(ⅲ)(ⅳ)(ⅴ),,,,,,,,労働者のシンボルであるハンマー
火災の被害,ヴェルラの砕木パルプ・板紙工場,フィンランド,(ⅳ),,,,,,,,製材・製紙業
火災の被害,ラウマの旧市街,フィンランド,(ⅳ)(ⅴ),,,,,,,,最大規模の木造平屋建築の家屋
火災の被害,ロスキレの大聖堂,デンマーク,(ⅱ)(ⅳ),,,,,,,,当時最新の建材であったレンガ
火災の被害,パルノンハルマの千年の歴史をもつベネディクト会修道院と周辺の自然環境,ハンガリー,(ⅳ)(ⅵ),,,,,,,,ハンガリー最古の修道院
火災の被害,レヴォチャ、スピシュ城と関連する文化的建造物群,スロバキア,(ⅳ),,,,,,,,スピシュスケー・ポトフラジェ
火災の被害,シュパイアの大聖堂,ドイツ,(ⅱ),,,,ハインリヒ4世,,,,
火災の被害,ラ・ショー・ド・フォン/ル・ロクル、時計製造都市の都市計画,スイス,(ⅳ),,,,,,,,"近代的な都市計画が採用された
 時計製造
 工業都市"
火災の被害,ブリュッセルのグラン・プラス,ベルギー,(ⅱ)(ⅳ),,,,,,,,"再建されたギルドハウスは石造り
 ギルドの人々の団結により街はわずか4年で再建"
火災の被害,ホローケーの伝統的集落,ハンガリー,(ⅴ),,,トルコ系クマン人,,,,パローツ様式,
火災の被害,カスビのブガンダ王国の王墓,ウガンダ,(ⅰ)(ⅲ)(ⅳ)(ⅵ),,,ガンダ族,,,ムジブ・アザーラ・ムパンガ,,木材やわら・葦・土壁
火災の被害,トラコタルパンの歴史的建造物地区,メキシコ,(ⅱ)(ⅳ),,,,,,,,コロンブス広場
地震の被害,カトマンズの谷,ネパール,(ⅲ)(ⅳ)(ⅵ),,"カトマンズ
 パタン
 バドガオン",,,,ダルバール広場,,"ヒンドゥー教と仏教の融合
 ラリトプル"
地震の被害,バガン,ミャンマー,(ⅲ)(ⅳ)(ⅵ),,,,,,,,仏塔（パゴダ）
地震の被害,プランバナンの寺院群,インドネシア,(ⅰ)(ⅳ),,,,,,ロロ・ジョングラン,,
地震の被害,ゴールの旧市街とその要塞,スリランカ,(ⅳ),,,,,,,,海のシルク・ロードの中継地点
地震の被害,フィリピンのバロック様式の教会群,フィリピン,(ⅱ)(ⅳ),,,,,,サン・アグスティン教会,地震のバロック,
地震の被害,レオン大聖堂,ニカラグア,(ⅱ)(ⅳ),,,,ディエゴ・ホセ・デ・ポレス・エスキベル,,,,アントニオ・サッリア「十字架への道」が収蔵されている
地震の被害,アンティグア・グアテマラ,グアテマラ,(ⅱ)(ⅲ)(ⅳ),,,,,,,,耐震性を高めて建造物が改築
地震の被害,ハンバーストーンとサンタ・ラウラの硝石工場群,チリ,(ⅱ)(ⅲ)(ⅳ),,,,,,,,パンピノス文化
地震の被害,オアハカの歴史地区とモンテ・アルバンの考古遺跡,メキシコ,(ⅰ)(ⅱ)(ⅲ)(ⅳ),,,,,,ラ・ソレダー教会堂,,
地震の被害,アレキパの歴史地区,ペルー,(ⅰ)(ⅳ),,,,,,サンタ・カタリーナ修道院,,
地震の被害,リマの歴史地区,ペルー,(ⅳ),,,,,,サン・フランシスコ修道院,,
地震の被害,ヴォルビリスの考古遺跡,モロッコ,(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,,,,,,リスボン大地震で壊滅的な被害を受けた
地震の被害,サブラータの考古遺跡,リビア,(ⅲ),危機遺産,トラヤヌス帝時代,フェニキア人,,,,,
地震の被害,アッシジのサン・フランチェスコ聖堂と関連建造物群,イタリア,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,,,,,ゴシック様式,聖フランチェスコの精神が宿る場所
地震の被害,アクィレイアの考古地区とバシリカ総主教聖堂,イタリア,(ⅲ)(ⅳ)(ⅵ),,,,,,,,東方正教会の中央ヨーロッパへの布教拠点
地震の被害,ヴァル・ディ・ノートの後期バロック様式の都市景観群（シチリア島南東部）,イタリア,(ⅰ)(ⅱ)(ⅳ)(ⅴ),,,,,,,後期バロック様式,
地震の被害,テサロニキの初期キリスト教とビザンツ様式の建造物群,ギリシャ,(ⅰ)(ⅱ)(ⅳ),,,,,,,,ギリシャ十字形の平面プランを持つ教会
地震の被害,ネムルト・ダーの巨大墳墓,トルコ,(ⅰ)(ⅲ)(ⅳ),,コンマゲネ王国,,アンティオコス1世,,ネムルト山,,ギリシャとペルシアの双方から強い影響
地震の被害,ストゥデニツァ修道院,セルビア,(ⅰ)(ⅱ)(ⅳ)(ⅵ),,ネマニッチ朝,,,,,,
地震の被害,コトルの文化歴史地域と自然,モンテネグロ,(ⅰ)(ⅱ)(ⅲ)(ⅳ),,,,,,,,ロヴツェン山
戦争・紛争,エルサレムの旧市街とその城壁群,エルサレム,(ⅱ)(ⅲ)(ⅳ),危機遺産,,,,,"ユダヤの聖地嘆きの壁
 キリスト教の聖地聖墳墓教会
 イスラム教の聖地岩のドーム",,"ユダヤキリストイスラムの聖地
 十戒
 ディアスポラ"
