地域,章,名称,国名,登録基準,場所,特殊遺産,時代・王朝,人種・民族,政治家,芸術家,生物,植物,構成資産,構成資産の詳細,美術品,建築・絵画の様式,文化,宗教,バイオーム,特徴
ヨーロッパ,文化的景観,アランフエスの文化的景観,スペイン,(ⅱ)(ⅳ),,文化的景観,,,,フアン・デ・エレーラ,,,"陶磁器の間
島の庭園",,,,,,,離宮はフアン・デ・エレーラが設計を行った
ヨーロッパ,文化的景観,ハルシュタット＝ダッハシュタイン/ザルツカンマーグートの文化的景観,オーストリア,(ⅲ)(ⅳ),,文化的景観,,,ハプスブルク家,,,,ダッハシュタイン山,,,,ハルシュタット文化,,,ハプスブルク家の重要な財源となった
ヨーロッパ,文化的景観,英国の湖水地方,イギリス,(ⅱ)(ⅴ)(ⅵ),,文化的景観,,,,,ハードウィック,,,,,ピクチャレスク,,,,ビアトリクス・ボター「ピーターラビットのおはなし」は湖水地方の自然や動物をモチーフに描いた
ヨーロッパ,文化的景観,マドリウ・パラフィタ・クラロー渓谷,アンドラ,(ⅴ),,文化的景観,アンドラ公国,,,,,,,,,,,,,"13世紀に開発された鉄の精錬所
ピレネー山脈東部の谷間にある小独立国家アンドラ公国"
ヨーロッパ,文化的景観,ライン渓谷中上流部,ドイツ,(ⅱ)(ⅳ)(ⅴ),,文化的景観,,,,,,,ラインシュタイン城/シュトルツェンフェルス城/ライヒェンシュタイン城/ローレライ/ネズミの塔,カール・フリードリヒ・シンケルらが参加して再建が行われた/ライン川ロマン主義の典型例//ハイネの詩に曲をつけた歌曲で知られる,,ロマン主義,,,,
ヨーロッパ,文化的景観,ヴァッハウ渓谷の文化的景観,オーストリア,(ⅱ)(ⅳ),,文化的景観,,,,,,,,,,,,,,"首都ウィーンを守る役割もあった
ドナウ川渓谷に広がる文化と自然の調和が特徴的な地域"
ヨーロッパ,文化的景観,ケルナヴェ古代遺跡（ケルナヴェ文化保護区）,リトアニア,(ⅲ)(ⅳ),,文化的景観,,,,,,,,,,,,,,"定住が始まったとされる旧石器時代後期からキリスト教化されるまでの考古遺跡
ドイツ騎士修道会によって破壊された"
ヨーロッパ,文化的景観,シェラン島北部の王室狩猟場の景観,デンマーク,(ⅱ)(ⅳ),ストア・デュアヘーヴェ,文化的景観,,,,,,,,,,,,,,猟犬を伴った騎乗狩猟が行われている
ヨーロッパ,文化的景観,クジャター・グリーンランド：氷冠周縁部におけるノース人とイヌイットの農業地域,デンマーク,(ⅴ),,文化的景観,,,"ノース人
イヌイット",,,,,,,,,,,
ヨーロッパ,文化的景観,アーシヴィスイトからニピサット：氷と海の間に広がるイヌイットの狩猟場,デンマーク,(ⅴ),,文化的景観,,,パレオ・イヌイット,,カリブー,,,,,,,,,
ヨーロッパ,文化的景観,サゴリの文化的景観,ギリシャ,(ⅴ),,文化的景観,,,,,,,,,,,,,,"地域コミュニティによって管理された神聖な森
ピンドゥス山脈の西斜面に広がっている"
ヨーロッパ,文化的景観,タプタプアテア,フランス,(ⅲ)(ⅳ)(ⅵ),,文化的景観,,,,,,,"マラエ
アフ",,,,,オロ神,,
ヨーロッパ,宗教・信仰関連遺産（巡礼路）,モン・サン・ミシェルとその潟,フランス,(ⅰ)(ⅲ)(ⅵ),,,,,ノルマンディー公リシャール1世,,,,ノートル・ダム・スー・テール聖堂,,,ノルマンディー・ロマネスク建築,,,,修道士の瞑想の場である最上階の回廊は優美なゴシック様式を今に伝える
ヨーロッパ,宗教・信仰関連遺産（巡礼路）,サンティアゴ・デ・コンポステーラの巡礼路：カミノ・フランセスとスペインの北部の道,スペイン,(ⅱ)(ⅳ)(ⅵ),,,,,アルフォンソ2世,,,,サンティアゴ・デ・コンポステーラ,,,,カミノ・フランセス,,,"聖ヤコブの墓が発見されたことにより盛んになっていく
フランス人が多く巡礼した道として「カミノ・フランセス」と呼ばれている
アルフォンソ2世が聖ヤコブの墓を発見する"
ヨーロッパ,宗教・信仰関連遺産（巡礼路）,サンティアゴ・デ・コンポステーラ（旧市街）,スペイン,(ⅰ)(ⅱ)(ⅵ),,,アストゥリアス王国,,,,,,栄光の門,,,,,,,「黄金に輝く傑作」とも呼ばれるチュリゲラ様式のファサード
ヨーロッパ,宗教・信仰関連遺産（巡礼路）,フランスのサンティアゴ・デ・コンポステーラの巡礼路,フランス,(ⅱ)(ⅳ)(ⅵ),,,,,,,,,"ペリグーのサン・フロン大聖堂
ル・ピュイ・アン・ヴレイのノートル・ダム大聖堂",,,,,,,「ル・ピュイの道」の7区間0.64km²が登録されている
ヨーロッパ,宗教・信仰関連遺産（巡礼路）,ピエモンテとロンバルディアのサクロ・モンテ群,イタリア,(ⅱ)(ⅳ),,文化的景観,,,,,,,ヴァラッロのサクロ・モンテ/オルタのサクロ・モンテ,トレント公会議から発展した考え方に従った/アッシジの聖フランチェスコに捧げられたもの,,,,,,エルサレムやパレスチナなどの聖地に代わる祈りの場をヨーロッパにつくるという目的
ヨーロッパ,宗教・信仰関連遺産（巡礼路）,ブラガのボン・ジェズス・ド・モンテ聖域,ポルトガル,(ⅳ),,文化的景観,,,,,,,ボン・ジェズス教会,,,,,,,カトリック教会によって進められた聖山（サクロ・モンテ）を築く運動を伝えている
ヨーロッパ,宗教・信仰関連遺産（巡礼路）,カルヴァリア・セヴジドフスカ：マニエリスム様式の建築と公園に関連する景観と巡礼公園,ポーランド,(ⅱ)(ⅳ),,文化的景観,,,ニコライ・ゼヴジドフスキ,,,,,,,,,,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,ヴァティカン市国,ヴァティカン,(ⅰ)(ⅱ)(ⅳ)(ⅵ),,,,,,"ドナート・ブラマンテ
ミケランジェロ・ブオナローティ
ジャン・ロレンツォ・ベルニーニ",,,システィーナ礼拝堂,,,,,,,国全体が世界遺産登録されている唯一の場所
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,アヴィニョンの歴史地区：教皇庁宮殿、司教の建造物群、アヴィニョンの橋,フランス,(ⅰ)(ⅱ)(ⅳ),,,,,,,,,サン・べネゼ橋,,,,,,,フィリップ4世はクレメンス5世に圧力をかけ、1309年にアヴィニョンに教皇庁を移転させた
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,司教座都市アルビ,フランス,(ⅳ)(ⅴ),,,,,,,,,サント・セシール大聖堂/ベルビー宮殿,南フランス特有のゴシック様式が用いられている/現在はトゥルーズ・ロートレックの美術館としても使用されている,,,,,,フィリップ2世が「アルビジョワ十字軍」を結成
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,ミラノのサンタ・マリア・デッレ・グラーツィエ修道院とレオナルド・ダ・ヴィンチの「最後の晩餐」,イタリア,(ⅰ)(ⅱ),,,,,,,,,,,,テンペラ,,ドミニコ会,,大食堂の壁面には「最後の晩餐」がある
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,ピサのドゥオーモ広場,イタリア,(ⅰ)(ⅱ)(ⅳ)(ⅵ),,,,,,ニコラ・ピサーノ,,,ピサの斜塔,,,,,,,地中海沿岸の商業ルートを確立し、1063年にパレルモ沖海戦に勝利した
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,アルコバサの修道院,ポルトガル,(ⅰ)(ⅳ),,,,,アフォンソ・エンリケス1世,,,,,,,,,シトー会,,聖ベルナールから支援を受けようとした
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,アッシジのサン・フランチェスコ聖堂と関連建造物群,イタリア,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,,,聖フランチェスコ,,,,,,小鳥への説教,,,,,ゴシック様式建築の代表作であり聖フランチェスコの精神が宿る場所
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,マウルヴロンの修道院関連建造物群,ドイツ,(ⅱ)(ⅳ),,,,,,"ヘルマン・ヘッセ
フリードリヒ・ヘルダーリン",,,,,,ラテン十字型プラン,,シトー会,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,修道院の島ライヒェナウ,ドイツ,(ⅱ)(ⅳ)(ⅵ),,,,,,,,,聖ゲオルク聖堂,,キリストの栄光,,,,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,ラムスのノートル・ダム大聖堂、サン・レミ旧修道院、トー宮,フランス,(ⅰ)(ⅱ)(ⅵ),,,,,クローヴィス,,,,サン・レミ修道院,レミギウスの墓の墓がある,,,,,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,ミュスタイアにあるベネディクト会の聖ヨハネ修道院,スイス,(ⅲ),,,カロリング朝,,,,,,,,,,,,,15世紀の改築で尖頭系穹㝫を備えた後期ゴシック様式となった
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,バターリャ修道院,ポルトガル,(ⅰ)(ⅱ),,,,,ジョアン1世,,,,,,,"ポルトガル・ゴシック
マヌエル様式",,,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,サン・ミリャンユソとスソの修道院群,スペイン,(ⅱ)(ⅳ)(ⅵ),,,,,,,,,,,,,,,,サン・ミリャンの注記はスペイン語のルーツの1つとして高い価値を有する
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,ポブレの修道院,スペイン,(ⅰ)(ⅳ),,,,,,,,,パンテオン,カタルーニャとアラゴンの王をまつる,,,,シトー会,,スペイン最大規模のシトー会修道院
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,サンタ・マリア・デ・グアダルーペ王立修道院,スペイン,(ⅳ)(ⅵ),,,,,,,,,,,,,,,,黒い木彫りの聖母像が祀られており、スペインにおけるマリア信仰の中心地である
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,オロモウツの聖三位一体記念柱,チェコ,(ⅰ)(ⅳ),,,,,,ヴァーツラフ・レンダー,,,,,,,,,,ヴァーツラフ・レンダーと弟子たちが建造した
ヨーロッパ,宗教・信仰関連遺産（キリスト教カトリック）,パンノンハルマの千年の歴史をもつベネディクト会修道院と周辺の自然環境,ハンガリー,(ⅳ)(ⅵ),,,,,,,,,ポルタ・スぺシオーザ,,,,,,,"ハンガリー最古の修道院
森と植物園の両方が人工的要素の美的価値を際立たせている"
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,キーウ：聖ソフィア聖堂と関連修道院群、キーウ・ペチェルーシク大修道院,ウクライナ,(ⅰ)(ⅱ)(ⅲ)(ⅳ),,,キエフ大公国,,ヤロスラフ賢公,,,,聖ソフィア聖堂,18世紀初頭、ピョートル大帝により、要塞として使用するためにバロック様式でヨーロッパ風に改築された,,,,,,2023年の世界遺産委員会で危機遺産リストに記載された
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,モルドヴァ地方の教会群,ルーマニア,(ⅰ)(ⅳ),,,,,シュテファン大公,,,,ヴォロネツ修道院,,,,,,,内壁も外壁もフレスコ画で埋め尽くされている
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,リラの修道院,ブルガリア,(ⅵ),,,,,イワン・リルスキー,,,,聖母聖堂,,,,,,,大地震によって全壊した修道院を再建したのはフレリヨ・ドラゴボラ
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,スタリ・ラスの遺跡とソポチャニの修道院,セルビア,(ⅰ)(ⅲ),,,,,,,,,"聖ペテロ教会
スヴェタ・トロイツァ修道院",,聖母の眠り,,,,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,コソボの中世建造物群,セルビア,(ⅱ)(ⅲ)(ⅳ),,,,,,,,,"デチャニ修道院
グラチャニツァ修道院",,,,,,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,ウラジーミルとスーズダリの白い建造物群,ロシア,(ⅰ)(ⅱ)(ⅳ),,,,,,,,,"ウスペンスキー聖堂
ロジェストヴェンスキー聖堂
聖ボリス・聖グレブ教会",,,,,,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,ノヴォデーヴィチー修道院関連遺産群,ロシア,(ⅰ)(ⅳ)(ⅵ),,,,,ワシーリー3世,,,,スモレンスキー聖堂,,,,,,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,ソロヴェツキー諸島の文化歴史的建造物群,ロシア,(ⅳ),,,,,,,,,"アサンプション教会
セント・ニコラウス教会",,,ノウゴロド様式,,,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,セルギエフ・ポサドのトロイツェ・セルギエフの大修道院,ロシア,(ⅱ)(ⅳ),,,,,,セルギー・ラドネシスキー,,,トロイツキー聖堂,,,,,,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,フェラポントフ修道院関連遺産群,ロシア,(ⅰ)(ⅳ),,,,,,ディオニーシー,,,ロジェストヴェンスキー聖堂,ディオニーシーらが描いた聖母マリアを称える壁画が残る,,,,,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,スヴィヤジツクの集落島にある生神女就寝大聖堂と修道院,ロシア,(ⅱ)(ⅳ),,,,,イヴァン4世,,,,,,,,,,,シルク・ロードとヴォルガ川を使う交易ルートが交わる場所にある
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,パトモス島にある歴史地区（ホラ）：神学者聖ヨハネの修道院と黙示録の洞窟,ギリシャ,(ⅲ)(ⅳ)(ⅵ),,,,,アクレシオス1世,,,,,,,,,,,聖ヨハネが新約聖書の「黙示録」を書いたとされる丘に築かれた修道院
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,テサロニキの初期キリスト教とビザンツ様式の建造物群,ギリシャ,(ⅰ)(ⅱ)(ⅳ),,,,,,,,,"ロタンダ
聖ダヴィド聖堂
聖デミトリウス聖堂",,,,,,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,ムツヘタの歴史的建造物群,ジョージア,(ⅲ)(ⅳ),,,イベリア,,ミリアン3世,,,,"ジュワリ聖堂
スヴェティツホヴェリ聖堂",,,,,,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,ホレズの修道院,ルーマニア,(ⅱ),,,,,,,,,カトリコン聖堂,,,ブルンコヴャヌ様式,,,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,トロオドス地方の壁画教会群,キプロス,(ⅱ)(ⅲ)(ⅳ),,,,,,,,,屋根の聖二コラオス教会/蠟燭の聖イオアン修道院/生神女教会/大天使ミハイル教会,カコペトゥリア/カロパナイオティス/ムトゥラス/ペドゥラス,,,,,,
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,ストゥデニツァ修道院,セルビア,(ⅰ)(ⅱ)(ⅳ)(ⅵ),,,ネマニッチ朝,,,,,,,,キリストの磔刑,ラシュカ派様式,,,,キリストの磔刑はセルビア美術の最高傑作とされる
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,ゲガルト修道院とアザート渓谷上流域,アルメニア,(ⅱ),,,,,,,,,,,,,,,,"聖槍（ロンギヌスの槍）の一部がこの地で発見されたことに由来する
ガビットは中世アルメニア建築の至宝"
ヨーロッパ,宗教・信仰関連遺産（キリスト教正教）,エチミアジンの大聖堂と教会群、およびズヴァルトノツの考古遺跡,アルメニア,(ⅱ)(ⅲ),,,,,,,,,聖ガヤネ教会,,,,,アルメニア教会,,アルメニア教会初の大主教座が置かれた
ヨーロッパ,宗教・信仰関連遺産（キリスト教プロテスタント/国教会）,カンタベリー大聖堂、セント・オーガスティン修道院跡とセント・マーティン教会,イギリス,(ⅰ)(ⅱ)(ⅵ),,,,,,,,,カンタベリー大聖堂/セント・オーガスティン修道院,トマス・ベケットが暗殺されると、殉教の地となった/イングリッシュ・ヘリテイジが管理している,,,,,,グレゴリウス1世がアウグスティヌス（カンタベリーのアウグスティヌス）をイングランドのキリスト教化のために送り出したのがきっかけ
ヨーロッパ,宗教・信仰関連遺産（キリスト教プロテスタント/国教会）,アイスレーベンとヴィッテンベルクのルター記念建造物群,ドイツ,(ⅳ)(ⅵ),,,,,,,,,ヴィッテンベルク城,ルターが95カ条の論題を張り出し、カトリック教会の贖宥状を厳しく批判した,,,,,,聖書のドイツ語訳、ルター派教会の設立などを通じてヨーロッパの歴史を大きく動かした
ヨーロッパ,宗教・信仰関連遺産（キリスト教プロテスタント/国教会）,ロスキレの大聖堂,デンマーク,(ⅱ)(ⅳ),,,,,,,,,,,,"ゴシック様式
ロマネスク様式",,,,大聖堂はヨーロッパ建築史の縮図ともいうべきユニークな建造物となった
ヨーロッパ,宗教・信仰関連遺産（キリスト教プロテスタント/国教会）,クリスティアンフェル：モラヴィア教会入植地,デンマーク,(ⅲ)(ⅳ),,,,,,,,,モラヴィア教会,,,,,"モラヴィア教会
プロテスタント",,プロテスタントの理想都市を象徴し、住宅や道路は完全に対称である
ヨーロッパ,宗教・信仰関連遺産（ユダヤ教）,トジェビーチのユダヤ人街とプロコピウス聖堂,チェコ,(ⅱ)(ⅲ),,,,,,,,,プロコピウス聖堂,,,バシリカ式,,"ユダヤ教
キリスト教",,ユダヤ教文化とキリスト教文化という異文化が共存する
ヨーロッパ,宗教・信仰関連遺産（ユダヤ教）,シュパイア・ヴォルムス・マインツのユダヤ人共同体（シュム）関連遺産群,ドイツ,(ⅱ)(ⅲ)(ⅵ),,,,,,,,,ヴォルムスのシナゴーグ,,,,,,,アジュケナジムのコミュニティが存在した
ヨーロッパ,宗教・信仰関連遺産（ユダヤ教）,エアフルトの中世ユダヤ関連遺産,ドイツ,(ⅳ),,,,,,,,,ミグウェ,,,,,,,キリスト教徒が大多数を占める社会とユダヤ人コミュニティ共存を建築物や装飾計画が物語っている
ヨーロッパ,建築様式（ロマネスク）,シュパイアの大聖堂,ドイツ,(ⅱ),,,,,"ハインリヒ4世
ルートヴィヒ1世",,,,,,,ドイツ・ロマネスク様式,,,,"ハインリヒ4世が26年かけて改築した
火災の被害からの再建ではルートヴィヒ1世が出資した"
ヨーロッパ,建築様式（ロマネスク）,ヒルデスハイムの聖マリア大聖堂と聖ミヒャエル聖堂,ドイツ,(ⅰ)(ⅱ)(ⅲ),,,,,,,,,,,,初期ロマネスク様式,,,,ベルンヴァルトにより学術文化の街として発展した
ヨーロッパ,建築様式（ロマネスク）,ナウムブルクの大聖堂,ドイツ,(ⅰ)(ⅱ),,,,,,,,,,,,,,,,"ロマネスク後期からゴシック初期にかけての様式の変遷を示している
ナウムブルクのマイスターの最高傑作である"
ヨーロッパ,建築様式（ロマネスク）,ダラム城と大聖堂,イギリス,(ⅱ)(ⅳ)(ⅵ),,,,,ウィリアム1世,,,,,,,ノルマン様式,,ベネディクト会,,
ヨーロッパ,建築様式（ロマネスク）,フォントネーのシトー会修道院,フランス,(ⅳ),,,,,,,,,,,,,,シトー会,,"ブルゴーニュ地方に位置するシトー会最古の修道院
製紙工場として使われたことでひどく傷んでいたが、エドワード・エナードにより修復工事が行われた"
ヨーロッパ,建築様式（ロマネスク）,サン・サヴァル・シュール・ガルタンプの修道院教会,フランス,(ⅰ)(ⅲ),,,,,,,,,,,,,,ベネディクト会,,ノアの箱舟などの物語が描かれている
ヨーロッパ,建築様式（ロマネスク）,ヴェズレーの教会と丘,フランス,(ⅰ)(ⅵ),,,,,,,,,サント・マドレーヌ教会,マグダラのマリアの聖遺体を祀る,,,,,,使途に使命を与えるキリストはロマネスク彫刻の傑作とされる
ヨーロッパ,建築様式（ロマネスク）,ボイ渓谷のカタルーニャ風ロマネスク様式教会群,スペイン,(ⅱ)(ⅳ),,,,,,,,,サン・クリメン教会,,,,カタルーニャ文化,,,"イスラムの勢力が及ばず、キリスト教会が数多く建てられた
中世カタルーニャの生活様式はカタルーニャ文化のアイデンティティを認識する上で重要だった"
ヨーロッパ,建築様式（ゴシック）,ケルンの大聖堂,ドイツ,(ⅰ)(ⅱ)(ⅳ),,,,,,ゲルハルト,,,ザンクト・ペーター・ウント・マリア大聖堂,,,純粋なゴシック様式,,,,632年もの長い歳月を費やし、1880年に完成した
ヨーロッパ,建築様式（ゴシック）,ブールジュの大聖堂,フランス,(ⅰ)(ⅳ),,,,,,,,,,,,,,,,"各時代の技法が反映された色鮮やかなステンドグラス
「最後の審判」のレリーフといった内部装飾がある"
ヨーロッパ,建築様式（ゴシック）,シャルトルの大聖堂,フランス,(ⅰ)(ⅱ)(ⅳ),,,,,シャルル2世,,,,,,"美しき絵ガラスの聖母
王の扉口",,,,,
ヨーロッパ,建築様式（ゴシック）,アミアンの大聖堂,フランス,(ⅰ)(ⅱ),,,,,,ロベール・ド・リュザルシュ,,,,,,,,,,"13世紀のゴシック様式の聖堂としては、フランス最大級の規模を誇る
周歩廊を成す7つの放射状礼拝堂の配置は、他の大聖堂の先例となっている"
ヨーロッパ,建築様式（ゴシック）,ブルゴスの大聖堂,スペイン,(ⅱ)(ⅳ)(ⅵ),,,,,,,,,,,,フランボワイヤン様式,,,,"ヨーロッパにおけるゴシック芸術の発展の歴史
各時代や各地域におけるゴシック様式が混在"
ヨーロッパ,建築様式（ゴシック）,トゥルネーのノートル・ダム大聖堂,ベルギー,(ⅱ)(ⅳ),,,,,,,,,,,,"ロマネスク様式
ゴシック様式",,,,他地域に先駆けてゴシック様式で改築
ヨーロッパ,建築様式（ゴシック）,バレンシアのラ・ロンハ・デ・ラ・セダ,スペイン,(ⅰ)(ⅳ),,,,,,ペレ・コムプテ,,,,,,,,,,絹（セダ）の商品取引所である
ヨーロッパ,建築様式（バロック・ロココ）,ザンクト・ガレンの修道院,スイス,(ⅱ)(ⅳ),,,,,ガルス,,,,ロココ様式の付属図書館,,,,,ベネディクト会,,
ヨーロッパ,建築様式（バロック・ロココ）,ヴィースの巡礼教会,ドイツ,(ⅱ)(ⅲ),,,,,,ドミニクス・ツィンマーマン,,,,,,ロココ様式,,,,
ヨーロッパ,建築様式（バロック・ロココ）,ヴァル・ディ・ノートの後期バロック様式の都市景観群（シチリア島南東部）,イタリア,(ⅰ)(ⅱ)(ⅳ)(ⅴ),,,,,,,,,サン・ニコロ大聖堂,,,シチリア・バロック様式,,,,
ヨーロッパ,建築様式（バロック・ロココ）,ヴェルサイユ宮殿と庭園,フランス,(ⅰ)(ⅱ)(ⅵ),,,,,ルイ14世,,,,鏡の間,,,フランス・バロック様式,王の庭園鑑賞法,,,ルイ14世は自ら「王の庭園鑑賞法」という世界初とされるガイドブックを作った
ヨーロッパ,建築様式（バロック・ロココ）,ヴュルツブルクの司教館と庭園群,ドイツ,(ⅰ)(ⅳ),,,,,ヨハン・フィリップ・フランツ,"バルタザール・ノイマン
ジョヴァンニ・バッティスタ・ティエポロ",,,,,,,,,,
ヨーロッパ,建築様式（バロック・ロココ）,バイロイトの辺境伯オペラハウス,ドイツ,(ⅰ)(ⅳ),,,,,ヴィルヘルミーネ,ジュゼッペ・ガッリ・ビビエーナ,,,,,,,,,,公共空間である都市の要素としてオペラハウスが位置付けられている
ヨーロッパ,建築様式（ビザンツ）,ラヴェンナの初期キリスト教建造物群,イタリア,(ⅰ)(ⅱ)(ⅲ)(ⅳ),,,,,"ホノリウス
ユスティニアヌス",,,,サン・ヴィターレ聖堂,,キリスト変容,,,,,
ヨーロッパ,建築様式（ビザンツ）,ゲラティ修道院,ジョージア,(ⅳ),,,,,,,,,,,,,神学の中心地,,,"大聖堂で行われた再建工事が真正性を損なうとして、2017年に「バグラティ大聖堂」が登録から削除され「ゲラティ修道院」単体での登録となった
神学の中心地として貴重な写本や壁画が大量に保管されている"
ヨーロッパ,建築様式（ビザンツ）,ダフニ、オシオス・ルカス、ヒオスのネア・モニの修道院,ギリシャ,(ⅰ)(ⅳ),,,,,,,,,,,,,,,,"大きなドーム天井を持つ内接十字形
金箔の背景を持つ大理石のモザイクが"
ヨーロッパ,建築様式（ビザンツ）,アフパットとさないんの修道院,アルメニア,(ⅱ)(ⅳ),,,,,,,,,,,"全能者ハリストス
聖十字架",,,,,4世紀初めにキリスト教を国教とした
ヨーロッパ,建築様式（独自の様式）,ゼレナー・ホラにあるネポムークの聖ヨハネ巡礼教会,チェコ,(ⅳ),,,,,,ヤン・ブラジェイ・サンティーニ,,,,,,,,,,"聖ヤン・ネポムツキ－ゆかり
5と3という数字が深くかかわっている"
ヨーロッパ,建築様式（独自の様式）,要塞教会のあるトランシルヴァニアの村落,ルーマニア,(ⅳ),,,,ザクセン人,,,,,ビエルタンの要塞教会,,,,,要塞教会,,
ヨーロッパ,建築様式（独自の様式）,ボローニャのポルティコ群,イタリア,(ⅳ),,,,,,,,,,,,,,,,"木造のものもあれば、石造やレンガ造、鉄筋コンクリート造のものもある
増大する住宅需要た対応するための実用的な必要性から発達した
公共のための私有財産として定義される"
ヨーロッパ,建築様式（独自の様式）,パレルモのアラブ・ノルマン様式の建造物群と、チェファルとモンレアーレの大聖堂,イタリア,(ⅱ)(ⅳ),,,,,,,,,モンレアーレ大聖堂,,,,シンクレティズム,,,
ヨーロッパ,建築様式（独自の様式）,アラゴンのムデハル様式建築,スペイン,(ⅳ),,,,,,,,,サン・ペドロ聖堂,,,ムデハル様式,,,,
ヨーロッパ,建築様式（独自の様式）,ブコビナのダルマチアの府主教の邸宅,ウクライナ,(ⅱ)(ⅲ)(ⅳ),,,,,,ヨセフ・フラヴカ,,,赤の間,,,,,,,オーストリア・ハンガリー帝国の宗教的寛容政策を反映した
ヨーロッパ,建築様式（独自の様式）,プスコフ建築派の教会群,ロシア,(ⅱ),,,,,,,,,,,,プスコフ建築派,,,,庭園や周囲の壁、柵などを通して自然と融合している
ヨーロッパ,建築様式（独自の様式）,コローメンスコエ：昇天教会（ヴォズネセーニエ教会）,ロシア,(ⅱ),,,,,,,,,ヴォズネセーニエ教会,ギリシャ十字形プラン,,ロシア固有の建築様式,,,,
ヨーロッパ,木造教会,ヤヴォルとシフィドニツァの平和教会,ポーランド,(ⅱ)(ⅳ)(ⅵ),,,,,,,,,ルター派教会,,,,,ルター派,,"三十年戦争の後、カトリックの優位が確立する
ハプスブルク家としてはプロテスタント社会に対する宗教的寛容さを示す必要性を迫られた
"
ヨーロッパ,木造教会,キージ島の木造教会と集落,ロシア,(ⅰ)(ⅳ)(ⅴ),,,,,,,,,プレオブランジェスカヤ教会,,,,,,,"葱坊主型ドームも22も配されている
ポゴーストには複雑な木組みと装飾によって建てられた木造教会がある"
ヨーロッパ,木造教会,ウルネスの木造教会,ノルウェー,(ⅰ)(ⅱ)(ⅲ),,,,,,,,,スターヴヒルケ,,,ヴァイキング時代,,,,ルストラフィヨルドを見下ろすノルウェー最古の木造教会
ヨーロッパ,木造教会,マウォポルスカ南部の木造教会群,ポーランド,(ⅲ)(ⅳ),,,,,,,,,,,,"ゴシック様式
伝統的な木造建築技術",,,,教会を建設することは、その土地の有力者や帰属にとって自らのステータスを示す行為
ヨーロッパ,木造教会,マラムレシュの木造教会群,ルーマニア,(ⅳ),,,,,,,,,ブルナサ村の木造教会,,,,,,,ナラやマツの一枚板で作られている
ヨーロッパ,木造教会,ぺタヤヴェシの古教会,フィンランド,(ⅳ),,,,,,,,,,,,"校倉造り
寄棟造り",,,,
ヨーロッパ,木造教会,カルパティア山脈のスロバキア側の木造教会,スロバキア,(ⅲ)(ⅳ),,,,スラヴ人,,,,,,,,,,,,50棟ほどの木造教会のうち、8棟が世界遺産に登録された
ヨーロッパ,木造教会,カルパティア地方のポーランドとウクライナ領にある木造教会群,"ウクライナ
ポーランド",(ⅲ)(ⅳ),ブルナリ・ビジネ,,,,,,,,,,,,,,,東方正教とギリシャ・カトリックの共同体によって造られたもの
ヨーロッパ,建築様式（近現代建築）,バウハウス関連遺産群：ヴァイマールとデッサウ、ベルナウ,ドイツ,(ⅱ)(ⅳ)(ⅵ),,,,,,"ヴァルター・グロピウス
パウル・クレー
ヴァシリー・カンディンスキー",,,,,,,,,,バウヒュッテにちなむ
